trade_date,Position_Changing,Factor
2014-01-02,0,
2014-01-03,0,
2014-01-06,0,
2014-01-07,0,
2014-01-08,0,
2014-01-09,0,
2014-01-10,0,
2014-01-13,0,
2014-01-14,0,
2014-01-15,0,
2014-01-16,0,
2014-01-17,0,
2014-01-20,0,
2014-01-21,0,
2014-01-22,0,
2014-01-23,0,
2014-01-24,0,
2014-01-27,0,
2014-01-28,0,
2014-01-29,0,
2014-01-30,0,
2014-02-07,0,
2014-02-10,0,
2014-02-11,0,
2014-02-12,0,
2014-02-13,0,
2014-02-14,0,
2014-02-17,0,
2014-02-18,0,
2014-02-19,0,
2014-02-20,0,
2014-02-21,0,
2014-02-24,0,
2014-02-25,0,
2014-02-26,0,
2014-02-27,0,
2014-02-28,0,
2014-03-03,0,
2014-03-04,0,
2014-03-05,0,
2014-03-06,0,
2014-03-07,0,
2014-03-10,1,-20.249141708193225
2014-03-11,0,
2014-03-12,0,
2014-03-13,0,
2014-03-14,0,
2014-03-17,1,-67.54034129625146
2014-03-18,0,
2014-03-19,0,
2014-03-20,0,
2014-03-21,0,
2014-03-24,1,-36.59809864663593
2014-03-25,0,
2014-03-26,0,
2014-03-27,0,
2014-03-28,0,
2014-03-31,1,-43.57314411535949
2014-04-01,0,
2014-04-02,0,
2014-04-03,0,
2014-04-04,0,
2014-04-08,1,-91.19348531007634
2014-04-09,0,
2014-04-10,0,
2014-04-11,0,
2014-04-14,1,-110.9578681424837
2014-04-15,0,
2014-04-16,0,
2014-04-17,0,
2014-04-18,0,
2014-04-21,1,-147.17585610289467
2014-04-22,0,
2014-04-23,0,
2014-04-24,0,
2014-04-25,0,
2014-04-28,1,-180.08413291411256
2014-04-29,0,
2014-04-30,0,
2014-05-05,1,-180.04183564321144
2014-05-06,0,
2014-05-07,0,
2014-05-08,0,
2014-05-09,0,
2014-05-12,1,-76.01874254407048
2014-05-13,0,
2014-05-14,0,
2014-05-15,0,
2014-05-16,0,
2014-05-19,1,-76.79453115202438
2014-05-20,0,
2014-05-21,0,
2014-05-22,0,
2014-05-23,0,
2014-05-26,1,111.47905835225578
2014-05-27,0,
2014-05-28,0,
2014-05-29,0,
2014-05-30,0,
2014-06-03,1,88.04291398792546
2014-06-04,0,
2014-06-05,0,
2014-06-06,0,
2014-06-09,1,8.030485864177741
2014-06-10,0,
2014-06-11,0,
2014-06-12,0,
2014-06-13,0,
2014-06-16,1,-93.03325497739067
2014-06-17,0,
2014-06-18,0,
2014-06-19,0,
2014-06-20,0,
2014-06-23,1,-92.26720491851914
2014-06-24,0,
2014-06-25,0,
2014-06-26,0,
2014-06-27,0,
2014-06-30,1,-148.0677198186945
2014-07-01,0,
2014-07-02,0,
2014-07-03,0,
2014-07-04,0,
2014-07-07,1,-110.31981056924991
2014-07-08,0,
2014-07-09,0,
2014-07-10,0,
2014-07-11,0,
