trade_date,Position_Changing,Factor,Profit,Fee_Signal,Cumprod
2014-01-02,0,0.0,-0.0,0.0,1.0
2014-01-03,0,0.0,-0.0,0.0,1.0
2014-01-06,0,0.0,-0.0,0.0,1.0
2014-01-07,0,0.0,-0.0,0.0,1.0
2014-01-08,0,0.0,0.0,0.0,1.0
2014-01-09,0,0.0,-0.0,0.0,1.0
2014-01-10,0,0.0,-0.0,0.0,1.0
2014-01-13,0,0.0,-0.0,0.0,1.0
2014-01-14,0,0.0,0.0,0.0,1.0
2014-01-15,0,0.0,-0.0,0.0,1.0
2014-01-16,0,0.0,0.0,0.0,1.0
2014-01-17,0,0.0,-0.0,0.0,1.0
2014-01-20,0,0.0,-0.0,0.0,1.0
2014-01-21,0,0.0,0.0,0.0,1.0
2014-01-22,0,0.0,0.0,0.0,1.0
2014-01-23,0,0.0,-0.0,0.0,1.0
2014-01-24,0,0.0,0.0,0.0,1.0
2014-01-27,0,0.0,-0.0,0.0,1.0
2014-01-28,0,0.0,0.0,0.0,1.0
2014-01-29,0,0.0,0.0,0.0,1.0
2014-01-30,0,0.0,-0.0,0.0,1.0
2014-02-07,0,0.0,0.0,0.0,1.0
2014-02-10,0,0.0,0.0,0.0,1.0
2014-02-11,0,0.0,0.0,0.0,1.0
2014-02-12,0,0.0,0.0,0.0,1.0
2014-02-13,0,0.0,-0.0,0.0,1.0
2014-02-14,0,0.0,0.0,0.0,1.0
2014-02-17,0,0.0,0.0,0.0,1.0
2014-02-18,0,0.0,-0.0,0.0,1.0
2014-02-19,0,0.0,0.0,0.0,1.0
2014-02-20,0,0.0,-0.0,0.0,1.0
2014-02-21,0,0.0,-0.0,0.0,1.0
2014-02-24,0,0.0,-0.0,0.0,1.0
2014-02-25,0,0.0,-0.0,0.0,1.0
2014-02-26,0,0.0,0.0,0.0,1.0
2014-02-27,0,0.0,-0.0,0.0,1.0
2014-02-28,0,0.0,0.0,0.0,1.0
2014-03-03,0,0.0,0.0,0.0,1.0
2014-03-04,0,0.0,-0.0,0.0,1.0
2014-03-05,0,0.0,-0.0,0.0,1.0
2014-03-06,0,0.0,0.0,0.0,1.0
2014-03-07,0,0.0,-0.0,0.0,1.0
2014-03-10,1,0.0,-0.0,0.0,1.0
2014-03-11,0,0.0,0.0,0.0,1.0
2014-03-12,0,0.0,0.0,0.0,1.0
2014-03-13,0,0.0,0.0,0.0,1.0
2014-03-14,0,0.0,-0.0,0.0,1.0
2014-03-17,1,0.0,0.0,0.0,1.0
2014-03-18,0,0.0,-0.0,0.0,1.0
2014-03-19,0,0.0,-0.0,0.0,1.0
2014-03-20,0,0.0,-0.0,0.0,1.0
2014-03-21,0,0.0,0.0,0.0,1.0
2014-03-24,1,0.0,0.0,0.0,1.0
2014-03-25,0,0.0,-0.0,0.0,1.0
2014-03-26,0,0.0,-0.0,0.0,1.0
2014-03-27,0,0.0,-0.0,0.0,1.0
2014-03-28,0,0.0,-0.0,0.0,1.0
2014-03-31,1,0.0,-0.0,0.0,1.0
2014-04-01,0,0.0,0.0,0.0,1.0
2014-04-02,0,0.0,0.0,0.0,1.0
2014-04-03,0,0.0,-0.0,0.0,1.0
2014-04-04,0,0.0,0.0,0.0,1.0
2014-04-08,1,0.0,0.0,0.0,1.0
2014-04-09,0,0.0,0.0,0.0,1.0
2014-04-10,0,0.0,0.0,0.0,1.0
2014-04-11,0,0.0,-0.0,0.0,1.0
2014-04-14,1,0.0,-0.0,0.0,1.0
2014-04-15,0,0.0,-0.0,0.0,1.0
2014-04-16,0,0.0,0.0,0.0,1.0
2014-04-17,0,0.0,-0.0,0.0,1.0
2014-04-18,0,0.0,-0.0,0.0,1.0
2014-04-21,1,0.0,-0.0,0.0,1.0
2014-04-22,0,0.0,0.0,0.0,1.0
2014-04-23,0,0.0,-0.0,0.0,1.0
2014-04-24,0,0.0,-0.0,0.0,1.0
2014-04-25,0,0.0,-0.0,0.0,1.0
2014-04-28,1,0.0,-0.0,0.0,1.0
2014-04-29,0,0.0,0.0,0.0,1.0
2014-04-30,0,0.0,0.0,0.0,1.0
2014-05-05,1,0.0,-0.0,0.0,1.0
2014-05-06,0,0.0,0.0,0.0,1.0
2014-05-07,0,0.0,-0.0,0.0,1.0
2014-05-08,0,0.0,-0.0,0.0,1.0
2014-05-09,0,0.0,-0.0,0.0,1.0
2014-05-12,1,1.0,0.02162228022737619,1.0,1.0212222802273763
2014-05-13,0,1.0,-0.0023852663929727633,0.0,0.9976147336070272
2014-05-14,0,1.0,-0.0011403085270248606,0.0,0.9988596914729752
2014-05-15,0,1.0,-0.013022643472336648,0.0,0.9869773565276634
2014-05-16,0,1.0,0.0008721689489197656,0.0,1.0008721689489197
2014-05-19,1,0.0,-0.0,-1.0,0.9991000000000001
2014-05-20,0,0.0,0.0,0.0,1.0
2014-05-21,0,0.0,0.0,0.0,1.0
2014-05-22,0,0.0,-0.0,0.0,1.0
2014-05-23,0,0.0,0.0,0.0,1.0
2014-05-26,1,1.0,0.003523536010351918,1.0,1.0031235360103519
2014-05-27,0,1.0,-0.004035287896919182,0.0,0.9959647121030808
2014-05-28,0,1.0,0.010278119295108093,0.0,1.010278119295108
2014-05-29,0,1.0,-0.006541129831516378,0.0,0.9934588701684837
2014-05-30,0,1.0,0.0006032034744520973,0.0,1.000603203474452
2014-06-03,1,1.0,-0.0030327481149661777,0.0,0.9969672518850338
2014-06-04,0,1.0,-0.010070142144824035,0.0,0.989929857855176
2014-06-05,0,1.0,0.010492089819430771,0.0,1.0104920898194307
2014-06-06,0,1.0,-0.007383985864409983,0.0,0.99261601413559
2014-06-09,1,1.0,-0.00020611602458383294,0.0,0.9997938839754161
2014-06-10,0,1.0,0.012645950859306079,0.0,1.012645950859306
2014-06-11,0,1.0,-0.00023134545891998685,0.0,0.99976865454108
2014-06-12,0,1.0,-0.0034061931626226424,0.0,0.9965938068373773
2014-06-13,0,1.0,0.010601789719561034,0.0,1.010601789719561
2014-06-16,1,1.0,0.0071729221041797455,0.0,1.0071729221041796
2014-06-17,0,1.0,-0.010119305609416629,0.0,0.9898806943905833
2014-06-18,0,1.0,-0.004346283075306517,0.0,0.9956537169246935
2014-06-19,0,1.0,-0.015428841239862205,0.0,0.9845711587601378
2014-06-20,0,1.0,0.00461702657846367,0.0,1.0046170265784637
2014-06-23,1,1.0,-0.0012261727031491535,0.0,0.9987738272968508
2014-06-24,0,1.0,0.0050184854576380954,0.0,1.005018485457638
2014-06-25,0,1.0,-0.005338443319253024,0.0,0.994661556680747
2014-06-26,0,1.0,0.00736393593235118,0.0,1.0073639359323512
2014-06-27,0,1.0,0.0005490721611109364,0.0,1.000549072161111
2014-06-30,1,0.0,0.0,-1.0,0.9991000000000001
2014-07-01,0,0.0,-0.0,0.0,1.0
2014-07-02,0,0.0,0.0,0.0,1.0
2014-07-03,0,0.0,0.0,0.0,1.0
2014-07-04,0,0.0,-0.0,0.0,1.0
2014-07-07,1,0.0,-0.0,0.0,1.0
2014-07-08,0,0.0,0.0,0.0,1.0
2014-07-09,0,0.0,-0.0,0.0,1.0
2014-07-10,0,0.0,-0.0,0.0,1.0
2014-07-11,0,0.0,0.0,0.0,1.0
2014-07-14,1,1.0,0.011056745545877347,1.0,1.0106567455458775
2014-07-15,0,1.0,0.0014826684348177514,0.0,1.0014826684348177
2014-07-16,0,1.0,-0.0018896725487131502,0.0,0.9981103274512868
2014-07-17,0,1.0,-0.006356898386361103,0.0,0.9936431016136389
2014-07-18,0,1.0,0.0032775941439080365,0.0,1.003277594143908
2014-07-21,1,0.0,0.0,-1.0,0.9991000000000001
2014-07-22,0,0.0,0.0,0.0,1.0
2014-07-23,0,0.0,0.0,0.0,1.0
2014-07-24,0,0.0,0.0,0.0,1.0
2014-07-25,0,0.0,0.0,0.0,1.0
2014-07-28,1,0.0,0.0,0.0,1.0
2014-07-29,0,0.0,0.0,0.0,1.0
2014-07-30,0,0.0,-0.0,0.0,1.0
