trade_date,Position_Changing,Factor,Profit,Fee_Signal,Cumprod
2014-01-02,0,0.0,-0.0,0.0,1.0
2014-01-03,0,0.0,-0.0,0.0,1.0
2014-01-06,0,0.0,-0.0,0.0,1.0
2014-01-07,0,0.0,-0.0,0.0,1.0
2014-01-08,0,0.0,0.0,0.0,1.0
2014-01-09,0,0.0,-0.0,0.0,1.0
2014-01-10,0,0.0,-0.0,0.0,1.0
2014-01-13,0,0.0,-0.0,0.0,1.0
2014-01-14,0,0.0,0.0,0.0,1.0
2014-01-15,0,0.0,-0.0,0.0,1.0
2014-01-16,0,0.0,0.0,0.0,1.0
2014-01-17,0,0.0,-0.0,0.0,1.0
2014-01-20,0,0.0,-0.0,0.0,1.0
2014-01-21,0,0.0,0.0,0.0,1.0
2014-01-22,0,0.0,0.0,0.0,1.0
2014-01-23,0,0.0,-0.0,0.0,1.0
2014-01-24,0,0.0,0.0,0.0,1.0
2014-01-27,0,0.0,-0.0,0.0,1.0
2014-01-28,0,0.0,0.0,0.0,1.0
2014-01-29,0,0.0,0.0,0.0,1.0
2014-01-30,0,0.0,-0.0,0.0,1.0
2014-02-07,0,0.0,0.0,0.0,1.0
2014-02-10,0,0.0,0.0,0.0,1.0
2014-02-11,0,0.0,0.0,0.0,1.0
2014-02-12,0,0.0,0.0,0.0,1.0
2014-02-13,0,0.0,-0.0,0.0,1.0
2014-02-14,0,0.0,0.0,0.0,1.0
2014-02-17,0,0.0,0.0,0.0,1.0
2014-02-18,0,0.0,-0.0,0.0,1.0
2014-02-19,0,0.0,0.0,0.0,1.0
2014-02-20,0,0.0,-0.0,0.0,1.0
2014-02-21,0,0.0,-0.0,0.0,1.0
2014-02-24,0,0.0,-0.0,0.0,1.0
2014-02-25,0,0.0,-0.0,0.0,1.0
2014-02-26,0,0.0,0.0,0.0,1.0
2014-02-27,0,0.0,-0.0,0.0,1.0
2014-02-28,0,0.0,0.0,0.0,1.0
2014-03-03,0,0.0,0.0,0.0,1.0
2014-03-04,0,0.0,-0.0,0.0,1.0
2014-03-05,0,0.0,-0.0,0.0,1.0
2014-03-06,0,0.0,0.0,0.0,1.0
2014-03-07,0,0.0,-0.0,0.0,1.0
2014-03-10,1,0.0,-0.0,0.0,1.0
2014-03-11,0,0.0,0.0,0.0,1.0
2014-03-12,0,0.0,0.0,0.0,1.0
2014-03-13,0,0.0,0.0,0.0,1.0
2014-03-14,0,0.0,-0.0,0.0,1.0
2014-03-17,1,0.0,0.0,0.0,1.0
2014-03-18,0,0.0,-0.0,0.0,1.0
2014-03-19,0,0.0,-0.0,0.0,1.0
2014-03-20,0,0.0,-0.0,0.0,1.0
2014-03-21,0,0.0,0.0,0.0,1.0
2014-03-24,1,0.0,0.0,0.0,1.0
2014-03-25,0,0.0,-0.0,0.0,1.0
2014-03-26,0,0.0,-0.0,0.0,1.0
2014-03-27,0,0.0,-0.0,0.0,1.0
2014-03-28,0,0.0,-0.0,0.0,1.0
2014-03-31,1,0.0,-0.0,0.0,1.0
2014-04-01,0,0.0,0.0,0.0,1.0
2014-04-02,0,0.0,0.0,0.0,1.0
2014-04-03,0,0.0,-0.0,0.0,1.0
2014-04-04,0,0.0,0.0,0.0,1.0
2014-04-08,1,0.0,0.0,0.0,1.0
2014-04-09,0,0.0,0.0,0.0,1.0
2014-04-10,0,0.0,0.0,0.0,1.0
2014-04-11,0,0.0,-0.0,0.0,1.0
2014-04-14,1,0.0,-0.0,0.0,1.0
2014-04-15,0,0.0,-0.0,0.0,1.0
2014-04-16,0,0.0,0.0,0.0,1.0
2014-04-17,0,0.0,-0.0,0.0,1.0
2014-04-18,0,0.0,-0.0,0.0,1.0
2014-04-21,1,0.0,-0.0,0.0,1.0
2014-04-22,0,0.0,0.0,0.0,1.0
2014-04-23,0,0.0,-0.0,0.0,1.0
2014-04-24,0,0.0,-0.0,0.0,1.0
2014-04-25,0,0.0,-0.0,0.0,1.0
2014-04-28,1,0.0,-0.0,0.0,1.0
2014-04-29,0,0.0,0.0,0.0,1.0
2014-04-30,0,0.0,0.0,0.0,1.0
2014-05-05,1,0.0,-0.0,0.0,1.0
2014-05-06,0,0.0,0.0,0.0,1.0
2014-05-07,0,0.0,-0.0,0.0,1.0
2014-05-08,0,0.0,-0.0,0.0,1.0
2014-05-09,0,0.0,-0.0,0.0,1.0
2014-05-12,1,0.0,0.0,0.0,1.0
2014-05-13,0,0.0,-0.0,0.0,1.0
2014-05-14,0,0.0,-0.0,0.0,1.0
2014-05-15,0,0.0,-0.0,0.0,1.0
2014-05-16,0,0.0,0.0,0.0,1.0
2014-05-19,1,0.0,-0.0,0.0,1.0
2014-05-20,0,0.0,0.0,0.0,1.0
2014-05-21,0,0.0,0.0,0.0,1.0
2014-05-22,0,0.0,-0.0,0.0,1.0
2014-05-23,0,0.0,0.0,0.0,1.0
2014-05-26,1,0.0,0.0,0.0,1.0
2014-05-27,0,0.0,-0.0,0.0,1.0
2014-05-28,0,0.0,0.0,0.0,1.0
2014-05-29,0,0.0,-0.0,0.0,1.0
2014-05-30,0,0.0,0.0,0.0,1.0
2014-06-03,1,0.0,-0.0,0.0,1.0
2014-06-04,0,0.0,-0.0,0.0,1.0
2014-06-05,0,0.0,0.0,0.0,1.0
2014-06-06,0,0.0,-0.0,0.0,1.0
2014-06-09,1,0.0,-0.0,0.0,1.0
2014-06-10,0,0.0,0.0,0.0,1.0
2014-06-11,0,0.0,-0.0,0.0,1.0
2014-06-12,0,0.0,-0.0,0.0,1.0
2014-06-13,0,0.0,0.0,0.0,1.0
2014-06-16,1,0.0,0.0,0.0,1.0
2014-06-17,0,0.0,-0.0,0.0,1.0
2014-06-18,0,0.0,-0.0,0.0,1.0
2014-06-19,0,0.0,-0.0,0.0,1.0
2014-06-20,0,0.0,0.0,0.0,1.0
2014-06-23,1,0.0,-0.0,0.0,1.0
2014-06-24,0,0.0,0.0,0.0,1.0
2014-06-25,0,0.0,-0.0,0.0,1.0
2014-06-26,0,0.0,0.0,0.0,1.0
2014-06-27,0,0.0,0.0,0.0,1.0
2014-06-30,1,1.0,0.0069107921832707074,1.0,1.0065107921832708
2014-07-01,0,1.0,-0.00025864617203662867,0.0,0.9997413538279634
2014-07-02,0,1.0,0.002915142107402865,0.0,1.002915142107403
2014-07-03,0,1.0,0.004293209634846935,0.0,1.004293209634847
2014-07-04,0,1.0,-0.0006834266738221147,0.0,0.9993165733261778
2014-07-07,1,0.0,-0.0,-1.0,0.9991000000000001
2014-07-08,0,0.0,0.0,0.0,1.0
2014-07-09,0,0.0,-0.0,0.0,1.0
2014-07-10,0,0.0,-0.0,0.0,1.0
2014-07-11,0,0.0,0.0,0.0,1.0
2014-07-14,1,1.0,0.011056745545877347,1.0,1.0106567455458775
2014-07-15,0,1.0,0.0014826684348177514,0.0,1.0014826684348177
2014-07-16,0,1.0,-0.0018896725487131502,0.0,0.9981103274512868
2014-07-17,0,1.0,-0.006356898386361103,0.0,0.9936431016136389
2014-07-18,0,1.0,0.0032775941439080365,0.0,1.003277594143908
2014-07-21,1,0.0,0.0,-1.0,0.9991000000000001
2014-07-22,0,0.0,0.0,0.0,1.0
2014-07-23,0,0.0,0.0,0.0,1.0
2014-07-24,0,0.0,0.0,0.0,1.0
2014-07-25,0,0.0,0.0,0.0,1.0
2014-07-28,1,0.0,0.0,0.0,1.0
2014-07-29,0,0.0,0.0,0.0,1.0
2014-07-30,0,0.0,-0.0,0.0,1.0
2014-07-31,0,0.0,0.0,0.0,1.0
2014-08-01,0,0.0,-0.0,0.0,1.0
2014-08-04,1,1.0,0.01984201940413832,1.0,1.0194420194041383
2014-08-05,0,1.0,-0.0026393110009176476,0.0,0.9973606889990824
2014-08-06,0,1.0,-0.0025872074619621875,0.0,0.9974127925380378
2014-08-07,0,1.0,-0.015131896310965448,0.0,0.9848681036890345
2014-08-08,0,1.0,0.0015768262397635503,0.0,1.0015768262397635
2014-08-11,1,0.0,0.0,-1.0,0.9991000000000001
